User ID,Timestamp,Channel,Campaign,Conversion,Campaign_Cost_USD,Budget_USD,Revenue_USD,Profit_USD,ROI_%,ROAS,CPA_USD,Performance_Rating,Touchpoint_Order
10028,2025-10-02 01:44:12,Search Ads,Discount Offer,1,1.13,1.33,151.02,149.89,600.0,7.0,1.13,Excellent,1
10028,2025-11-02 01:03:57,Display Ads,No Campaign,1,1.43,1.86,163.03,161.6,600.0,7.0,1.43,Excellent,2
10045,2025-10-02 17:20:43,Search Ads,Discount Offer,0,2.47,2.99,0.0,-2.47,-99.98,0.0,0.0,Poor,1
10045,2025-11-02 18:44:15,Display Ads,New Product Launch,1,1.87,2.5,170.95,169.08,600.0,7.0,1.87,Excellent,2
10062,2025-10-02 15:42:42,Social Media,Brand Awareness,0,2.91,3.84,0.0,-2.91,-100.0,0.0,0.0,Poor,1
10062,2025-10-02 22:00:18,Direct Traffic,No Campaign,0,2.44,2.83,0.0,-2.44,-100.0,0.0,0.0,Poor,2
10062,2025-11-02 21:10:27,Email,Brand Awareness,1,1.01,1.18,209.38,208.37,600.0,7.0,1.01,Excellent,3
10068,2025-10-02 07:07:39,Search Ads,No Campaign,1,1.97,2.39,131.12,129.15,600.0,7.0,1.97,Excellent,1
10068,2025-11-02 08:05:04,Social Media,Retargeting,0,1.84,2.36,0.0,-1.84,-100.0,0.0,0.0,Poor,2
10068,2025-11-02 10:14:02,Social Media,Brand Awareness,1,1.56,1.99,228.88,227.32,600.0,7.0,1.56,Excellent,3
10068,2025-11-02 11:39:02,Search Ads,New Product Launch,1,1.6,1.9,205.32,203.72,600.0,7.0,1.6,Excellent,4
10068,2025-11-02 23:05:58,Social Media,Winter Sale,0,1.9,2.31,0.0,-1.9,-100.0,0.0,0.0,Poor,5
10095,2025-10-02 07:07:27,Display Ads,Retargeting,1,1.19,1.44,175.37,174.18,600.0,7.0,1.19,Excellent,1
10095,2025-10-02 21:59:46,Email,Retargeting,1,1.38,1.84,151.77,150.39,600.0,7.0,1.38,Excellent,2
10095,2025-11-02 01:37:25,Referral,New Product Launch,1,1.82,2.21,145.37,143.55,600.0,7.0,1.82,Excellent,3
10095,2025-11-02 08:09:00,Display Ads,No Campaign,0,2.45,3.01,0.0,-2.45,-100.0,0.0,0.0,Poor,4
10095,2025-11-02 18:45:58,Search Ads,Retargeting,1,1.79,2.34,126.06,124.27,600.0,7.0,1.79,Excellent,5
10095,2025-11-02 23:24:48,Referral,No Campaign,1,1.56,1.97,118.32,116.76,600.0,7.0,1.56,Excellent,6
