User ID,Timestamp,Channel,Campaign,Conversion
83281,10-02-2025 07:58,Email,New Product Launch,No
68071,10-02-2025 23:38,Search Ads,Winter Sale,No
90131,11-02-2025 10:41,Social Media,Brand Awareness,Yes
71026,10-02-2025 08:19,Direct Traffic,-,Yes
94486,10-02-2025 15:15,Email,Retargeting,Yes
31134,11-02-2025 06:43,Search Ads,-,Yes
99995,10-02-2025 06:15,Search Ads,-,Yes
45832,11-02-2025 01:09,Referral,Winter Sale,Yes
79863,10-02-2025 06:48,Display Ads,Discount Offer,Yes
35324,10-02-2025 21:36,Direct Traffic,-,No
50905,11-02-2025 22:04,Social Media,Brand Awareness,No
82798,10-02-2025 08:57,Display Ads,New Product Launch,Yes
53313,10-02-2025 14:45,Social Media,Brand Awareness,Yes
59109,10-02-2025 14:18,Display Ads,Brand Awareness,No
72045,11-02-2025 18:39,Referral,Retargeting,No
91019,10-02-2025 04:28,Email,Winter Sale,No
78241,11-02-2025 11:24,Display Ads,Brand Awareness,Yes
71565,11-02-2025 17:24,Email,Retargeting,Yes
60684,10-02-2025 01:31,Email,-,Yes
28998,11-02-2025 11:15,Direct Traffic,-,Yes
39795,11-02-2025 22:31,Display Ads,New Product Launch,No
83286,11-02-2025 16:16,Social Media,Discount Offer,No
62862,11-02-2025 02:10,Referral,Discount Offer,Yes
20507,11-02-2025 12:49,Email,Discount Offer,Yes
28295,11-02-2025 14:52,Social Media,New Product Launch,No
96523,10-02-2025 20:39,Social Media,Brand Awareness,Yes
30910,11-02-2025 02:03,Referral,Discount Offer,Yes
78262,11-02-2025 17:34,Referral,Brand Awareness,No
37903,10-02-2025 18:20,Search Ads,Retargeting,Yes
22684,11-02-2025 17:40,Direct Traffic,-,No
14396,10-02-2025 00:29,Social Media,Discount Offer,Yes
31679,11-02-2025 16:14,Email,Brand Awareness,No
73216,10-02-2025 16:07,Email,-,Yes
34551,10-02-2025 15:55,Referral,Discount Offer,No
20513,11-02-2025 07:12,Search Ads,-,Yes
78925,10-02-2025 02:27,Social Media,Retargeting,No
30845,11-02-2025 15:43,Email,Retargeting,Yes
27437,11-02-2025 10:47,Direct Traffic,-,No
17566,10-02-2025 14:33,Search Ads,Brand Awareness,No
61019,10-02-2025 20:23,Referral,Brand Awareness,No
96237,10-02-2025 18:57,Email,Winter Sale,No
93014,11-02-2025 15:51,Search Ads,-,No
81371,10-02-2025 04:28,Search Ads,Brand Awareness,No
76909,11-02-2025 02:40,Display Ads,Retargeting,Yes
29914,11-02-2025 02:00,Display Ads,Retargeting,Yes
33255,11-02-2025 08:10,Email,-,No
32685,10-02-2025 22:59,Referral,Winter Sale,No
28171,11-02-2025 10:26,Email,-,Yes
32391,10-02-2025 17:20,Email,Brand Awareness,No
82495,10-02-2025 01:32,Direct Traffic,-,Yes
55755,11-02-2025 16:42,Display Ads,Brand Awareness,Yes
94548,11-02-2025 03:33,Direct Traffic,-,No
